t,firm_id,firm_name,inbound_units,outbound_units,open_orders
8,65,firm80,29184.0,2129.0,51
8,66,firm82,5184.0,2508.0,20
8,67,firm83,12.0,0.0,4
8,68,firm84,514.0,189.0,24
8,69,firm86,940.0,1041.0,43
8,70,firm87,300.0,292.0,13
8,71,firm88,3106.0,140.0,18
8,72,firm89,0.0,3.0,1
8,73,firm90,3947.0,5.0,149
8,74,firm91,998.0,36.0,141
8,75,firm92,104.0,0.0,34
8,76,firm93,0.0,0.0,7
8,77,firm94,0.0,0.0,1
8,78,firm95,480.0,0.0,62
8,79,firm96,16.0,0.0,10
8,80,firm99,0.0,0.0,2
8,81,firm100,10.0,0.0,20
8,82,firm101,28.0,0.0,20
8,83,firm102,508.0,48.0,18
8,84,firm103,0.0,3.0,2
8,85,firm106,688.0,132.0,66
8,86,firm107,866.0,144.0,25
8,87,firm109,459.0,33.0,24
8,88,firm110,384.0,0.0,4
8,89,firm111,0.0,0.0,2
8,90,firm113,12.0,0.0,15
8,91,firm115,0.0,0.0,5
8,92,firm116,554.0,10.0,31
8,93,firm117,516.0,0.0,10
8,94,firm118,0.0,0.0,2
8,95,firm120,0.0,0.0,20
8,96,firm121,0.0,0.0,30
8,97,firm122,71.0,0.0,16
8,98,firm124,108.0,0.0,11
8,99,firm127,60.0,0.0,8
8,100,firm128,0.0,0.0,10
8,101,firm129,48.0,0.0,37
8,102,firm131,10.0,0.0,10
8,103,firm132,10.0,0.0,31
8,104,firm133,14.0,0.0,20
8,105,firm134,87.0,0.0,30
8,106,firm135,74.0,0.0,46
8,107,firm136,220.0,0.0,28
8,108,firm137,44.0,0.0,17
8,109,firm138,0.0,0.0,35
8,110,firm139,0.0,0.0,20
8,111,firm141,378.0,0.0,52
8,112,firm142,0.0,0.0,20
8,113,firm143,180.0,0.0,32
8,114,firm145,0.0,0.0,10
8,115,firm146,232.0,0.0,34
8,116,firm147,0.0,0.0,23
8,117,firm148,0.0,0.0,44
8,118,firm149,11.0,0.0,30
9,0,firm0,11880.0,119401.0,10
9,1,firm1,58200.0,5883.0,2
9,2,firm2,173664.0,2688.0,8
9,3,firm4,75434.0,349976.0,31
9,4,firm5,39340.0,176805.0,27
9,5,firm6,128.0,41797.0,6
9,6,firm7,14256.0,6912.0,7
9,7,firm8,8760.0,3308.0,6
9,8,firm9,79800.0,6687.0,13
9,9,firm10,1480.0,0.0,1
9,10,firm11,2220.0,43207.0,4
9,11,firm12,600.0,640.0,5
9,12,firm13,0.0,0.0,0
9,13,firm14,0.0,0.0,2
9,14,firm16,4340.0,38805.0,9
9,15,firm17,0.0,0.0,0
9,16,firm18,6400.0,42534.0,21
9,17,firm19,145756.0,14369.0,17
9,18,firm20,0.0,0.0,1
9,19,firm21,14195.0,1812.0,3
9,20,firm23,0.0,32888.0,4
9,21,firm24,10656.0,2308.0,2
9,22,firm25,32.0,355.0,4
9,23,firm29,76846.0,562842.0,80
9,24,firm30,3600.0,406.0,12
9,25,firm31,135018.0,11498.0,22
9,26,firm32,41652.0,51.0,13
9,27,firm33,67980.0,27477.0,42
9,28,firm34,0.0,0.0,2
9,29,firm36,95568.0,1220.0,9
9,30,firm37,4416.0,76.0,13
9,31,firm39,240.0,0.0,4
9,32,firm40,80148.0,4874.0,15
9,33,firm42,236.0,34.0,16
9,34,firm43,0.0,0.0,0
9,35,firm44,16024.0,2307.0,57
9,36,firm45,192.0,0.0,5
9,37,firm46,2694.0,2846.0,32
9,38,firm47,17442.0,2665.0,48
9,39,firm48,2280.0,216.0,11
9,40,firm49,87974.0,3515.0,8
9,41,firm50,38628.0,8298.0,65
9,42,firm52,8736.0,0.0,10
9,43,firm53,60.0,24.0,7
9,44,firm54,6660.0,860.0,2
9,45,firm55,84552.0,23703.0,61
9,46,firm56,0.0,0.0,1
9,47,firm57,4017.0,21681.0,20
9,48,firm58,2368.0,0.0,3
9,49,firm59,31542.0,5472.0,18
9,50,firm60,60.0,0.0,1
9,51,firm61,600.0,0.0,6
9,52,firm64,22126.0,0.0,46
9,53,firm66,10945.0,1116.0,10
9,54,firm67,2705.0,68.0,39
9,55,firm68,1123.0,8.0,33
9,56,firm69,432.0,72.0,5
9,57,firm70,2762.0,270.0,42
9,58,firm71,48.0,1012.0,1
9,59,firm72,1420.0,680.0,18
9,60,firm73,63.0,0.0,4
9,61,firm74,0.0,0.0,4
9,62,firm76,15384.0,1440.0,152
9,63,firm77,28.0,0.0,4
9,64,firm78,36050.0,1954.0,48
9,65,firm80,12722.0,2084.0,62
9,66,firm82,3076.0,1560.0,20
9,67,firm83,4.0,0.0,4
9,68,firm84,1044.0,132.0,28
9,69,firm86,1437.0,119.0,43
9,70,firm87,770.0,150.0,15
9,71,firm88,1064.0,33.0,18
9,72,firm89,0.0,0.0,1
9,73,firm90,5679.0,0.0,167
9,74,firm91,2640.0,39.0,155
9,75,firm92,116.0,0.0,38
9,76,firm93,0.0,0.0,7
9,77,firm94,0.0,0.0,2
9,78,firm95,356.0,114.0,60
9,79,firm96,24.0,0.0,9
9,80,firm99,0.0,0.0,2
9,81,firm100,13.0,0.0,21
9,82,firm101,8.0,0.0,18
9,83,firm102,94.0,1.0,18
9,84,firm103,0.0,0.0,2
9,85,firm106,140.0,148.0,69
9,86,firm107,1076.0,0.0,28
9,87,firm109,109.0,51.0,22
9,88,firm110,72.0,0.0,4
9,89,firm111,0.0,0.0,3
9,90,firm113,48.0,0.0,17
9,91,firm115,0.0,0.0,5
9,92,firm116,192.0,59.0,33
9,93,firm117,544.0,52.0,11
9,94,firm118,0.0,0.0,2
9,95,firm120,0.0,0.0,22
9,96,firm121,130.0,0.0,36
9,97,firm122,19.0,0.0,18
9,98,firm124,0.0,12.0,11
9,99,firm127,50.0,0.0,10
9,100,firm128,12.0,0.0,11
9,101,firm129,42.0,0.0,42
9,102,firm131,6.0,0.0,11
9,103,firm132,72.0,0.0,33
9,104,firm133,12.0,0.0,20
9,105,firm134,30.0,0.0,34
9,106,firm135,0.0,0.0,50
9,107,firm136,18.0,44.0,29
9,108,firm137,6.0,0.0,17
9,109,firm138,0.0,0.0,39
9,110,firm139,12.0,0.0,22
9,111,firm141,212.0,72.0,53
9,112,firm142,8.0,0.0,22
9,113,firm143,0.0,0.0,34
9,114,firm145,0.0,0.0,11
9,115,firm146,0.0,0.0,37
9,116,firm147,37.0,0.0,25
9,117,firm148,26.0,0.0,49
9,118,firm149,50.0,0.0,31
10,0,firm0,20090.0,10796.0,14
10,1,firm1,3888.0,7275.0,4
10,2,firm2,55752.0,21708.0,8
10,3,firm4,57270.0,197686.0,24
10,4,firm5,30690.0,175268.0,28
10,5,firm6,64.0,31224.0,4
10,6,firm7,31616.0,1782.0,6
10,7,firm8,3472.0,9576.0,6
10,8,firm9,75664.0,9975.0,12
10,9,firm10,0.0,296.0,1
10,10,firm11,0.0,444.0,7
10,11,firm12,2920.0,120.0,6
10,12,firm13,0.0,0.0,0
10,13,firm14,0.0,31864.0,0
10,14,firm16,7560.0,12082.0,10
10,15,firm17,0.0,0.0,1
10,16,firm18,8320.0,33753.0,21
10,17,firm19,115520.0,8318.0,16
10,18,firm20,0.0,1408.0,1
10,19,firm21,4260.0,2907.0,3
10,20,firm23,0.0,31180.0,3
10,21,firm24,0.0,1332.0,1
10,22,firm25,3104.0,4.0,3
10,23,firm29,40590.0,449138.0,81
10,24,firm30,1440.0,300.0,11
10,25,firm31,37150.0,38221.0,19
10,26,firm32,206.0,5205.0,14
