t,product_id,product_name,tx_units,open_orders,backlog_units,shock_severity
38,26,product26,116.0,153,0.0,0.0
38,27,product27,16.0,43,0.0,0.0
38,28,product28,2160.0,260,0.0,0.0
38,29,product29,232.0,24,0.0,0.0
38,30,product30,44.0,18,0.0,0.0
38,31,product31,117.0,29,0.0,0.0
38,32,product32,64.0,218,0.0,0.0
38,33,product33,2092.0,84,0.0,0.0
38,34,product34,400.0,130,0.0,0.0
38,35,product35,0.0,135,258.0,0.0
38,36,product36,0.0,169,347.0,0.0
38,37,product37,229.0,237,0.0,0.0
38,38,product38,72.0,15,0.0,0.0
38,39,product39,6.0,69,0.0,0.0
38,40,product40,45.0,198,0.0,0.0
38,41,product41,6.0,167,0.0,0.0
38,42,product42,312.0,294,0.0,0.0
38,43,product43,13.0,88,0.0,0.0
38,44,product44,8.0,175,0.0,0.0
38,45,product45,0.0,201,593.0,0.0
38,46,product46,0.0,119,194.0,0.0
38,47,product47,0.0,127,205.0,0.0
38,48,product48,0.0,221,617.0,0.0
38,49,product49,0.0,247,383.0,0.0
39,0,product0,111732.0,23,0.0,0.000242
39,1,product1,158050.0,15,0.0,0.000669
39,2,product2,249162.0,21,0.0,0.00032
39,3,product3,81350.0,16,0.0,0.000961
39,4,product4,94576.0,8,0.0,0.830428
39,5,product5,38605.0,46,0.0,0.0
39,6,product6,744.0,6,0.0,0.0
39,7,product7,26405.0,41,0.0,0.0
39,8,product8,16.0,5,0.0,0.0
39,9,product9,2312.0,18,0.0,0.0
39,10,product10,2520.0,23,0.0,0.0
39,11,product11,14768.0,58,0.0,0.0
39,12,product12,37181.0,55,0.0,0.0
39,13,product13,48.0,24,0.0,0.0
39,14,product14,55420.0,53,0.0,0.0
39,15,product15,0.0,21,25.0,0.0
39,16,product16,1068.0,6,0.0,0.0
39,17,product17,0.0,24,48.0,0.0
39,18,product18,11640.0,97,0.0,0.0
39,19,product19,448.0,56,0.0,0.0
39,20,product20,10240.0,41,0.0,0.0
39,21,product21,15069.0,90,0.0,0.0
39,22,product22,3084.0,60,0.0,0.0
39,23,product23,3476.0,57,0.0,0.0
39,24,product24,3291.0,168,0.0,0.0
39,25,product25,732.0,230,0.0,0.0
39,26,product26,148.0,131,0.0,0.0
39,27,product27,354.0,38,0.0,0.0
39,28,product28,2006.0,218,0.0,0.0
39,29,product29,174.0,29,0.0,0.0
39,30,product30,38.0,19,0.0,0.0
39,31,product31,57.0,31,0.0,0.0
39,32,product32,431.0,218,0.0,0.0
39,33,product33,492.0,81,0.0,0.0
39,34,product34,0.0,142,0.0,0.0
39,35,product35,0.0,112,226.0,0.0
39,36,product36,0.0,162,333.0,0.0
39,37,product37,522.0,208,0.0,0.0
39,38,product38,6.0,19,0.0,0.0
39,39,product39,14.0,67,0.0,0.0
39,40,product40,1.0,205,0.0,0.0
39,41,product41,222.0,151,0.0,0.0
39,42,product42,546.0,267,0.0,0.0
39,43,product43,91.0,89,0.0,0.0
39,44,product44,127.0,165,0.0,0.0
39,45,product45,0.0,208,624.0,0.0
39,46,product46,0.0,123,200.0,0.0
39,47,product47,0.0,130,203.0,0.0
39,48,product48,0.0,202,575.0,0.0
39,49,product49,0.0,253,393.0,0.0
40,0,product0,173433.0,24,0.0,8.1e-05
40,1,product1,253074.0,15,0.0,0.001294
40,2,product2,366969.0,22,0.0,0.000897
40,3,product3,133550.0,18,0.0,0.001239
40,4,product4,47468.0,7,0.0,0.787941
40,5,product5,24310.0,33,0.0,0.0
40,6,product6,296.0,6,0.0,0.0
40,7,product7,23258.0,41,0.0,0.0
40,8,product8,16.0,3,0.0,0.0
40,9,product9,904.0,18,0.0,0.0
40,10,product10,3240.0,12,0.0,0.0
40,11,product11,12402.0,60,0.0,0.0
40,12,product12,29525.0,53,0.0,0.0
40,13,product13,50.0,25,0.0,0.0
40,14,product14,48702.0,54,0.0,0.0
40,15,product15,0.0,16,34.0,0.0
40,16,product16,732.0,9,0.0,0.0
40,17,product17,0.0,26,45.0,0.0
40,18,product18,9505.0,75,0.0,0.0
40,19,product19,1168.0,39,0.0,0.0
40,20,product20,4593.0,52,0.0,0.0
40,21,product21,18960.0,64,0.0,0.0
40,22,product22,2406.0,46,0.0,0.0
40,23,product23,1060.0,66,0.0,0.0
40,24,product24,5438.0,165,0.0,0.0
40,25,product25,1720.0,165,0.0,0.0
40,26,product26,100.0,123,0.0,0.0
40,27,product27,20.0,41,0.0,0.0
40,28,product28,2798.0,176,0.0,0.0
40,29,product29,286.0,33,0.0,0.0
40,30,product30,0.0,21,0.0,0.0
40,31,product31,60.0,30,0.0,0.0
40,32,product32,137.0,226,0.0,0.0
40,33,product33,48.0,84,0.0,0.0
40,34,product34,433.0,127,0.0,0.0
40,35,product35,0.0,96,182.0,0.0
40,36,product36,0.0,160,349.0,0.0
40,37,product37,116.0,208,0.0,0.0
40,38,product38,34.0,17,0.0,0.0
40,39,product39,2.0,70,0.0,0.0
40,40,product40,0.0,214,0.0,0.0
40,41,product41,72.0,147,0.0,0.0
40,42,product42,446.0,236,0.0,0.0
40,43,product43,83.0,91,0.0,0.0
40,44,product44,113.0,156,0.0,0.0
40,45,product45,0.0,203,587.0,0.0
40,46,product46,0.0,112,180.0,0.0
40,47,product47,0.0,134,214.0,0.0
40,48,product48,0.0,145,412.0,0.0
40,49,product49,0.0,260,405.0,0.0
41,0,product0,189318.0,26,0.0,0.0004
41,1,product1,308030.0,17,0.0,7e-06
41,2,product2,423496.0,23,0.0,1.8e-05
41,3,product3,135954.0,20,0.0,0.000746
41,4,product4,58904.0,8,0.0,0.735203
41,5,product5,11555.0,34,0.0,0.0
41,6,product6,1332.0,6,0.0,0.0
41,7,product7,35427.0,41,0.0,0.0
41,8,product8,10.0,3,0.0,0.0
41,9,product9,2164.0,18,0.0,0.0
41,10,product10,624.0,12,0.0,0.0
41,11,product11,20578.0,62,0.0,0.0
